row,column,value,context,item,sheet,file
8,1,Kenya,main subject,Q114,00_region,region.xlsx
9,1,Tanzania,main subject,Q924,00_region,region.xlsx
10,1,Zambia,main subject,Q953,00_region,region.xlsx
8,2,Maize,main subject,Q25618328,00_region,region.xlsx
9,2,Maize,main subject,Q25618328,00_region,region.xlsx
10,2,Maize,main subject,Q25618328,00_region,region.xlsx
7,3,Production,property,PProduction,00_region,region.xlsx
7,2,Crop,property,PCropType,00_region,region.xlsx
7,1,Country,property,P17,00_region,region.xlsx
8,1,Kenya,main subject,Q114,01_region,region.xlsx
13,1,Kenya,main subject,Q114,01_region,region.xlsx
9,1,Tanzania,main subject,Q924,01_region,region.xlsx
14,1,Tanzania,main subject,Q924,01_region,region.xlsx
10,1,Zambia,main subject,Q953,01_region,region.xlsx
15,1,Zambia,main subject,Q953,01_region,region.xlsx
11,1,Zimbabwe,main subject,Q954,01_region,region.xlsx
12,1,Mozambique,main subject,Q1029,01_region,region.xlsx
8,2,Maize,main subject,Q25618328,01_region,region.xlsx
9,2,Maize,main subject,Q25618328,01_region,region.xlsx
10,2,Maize,main subject,Q25618328,01_region,region.xlsx
11,2,Maize,main subject,Q25618328,01_region,region.xlsx
12,2,Maize,main subject,Q25618328,01_region,region.xlsx
13,2,Teff,main subject,Q843942,01_region,region.xlsx
14,2,Teff,main subject,Q843942,01_region,region.xlsx
15,2,Teff,main subject,Q843942,01_region,region.xlsx
7,3,Production,property,PProduction,01_region,region.xlsx
7,2,Crop,property,PCropType,01_region,region.xlsx
7,1,Country,property,P17,01_region,region.xlsx
8,1,Kenya,main subject,Q114,02_region,region.xlsx
13,1,Kenya,main subject,Q114,02_region,region.xlsx
9,1,Tanzania,main subject,Q924,02_region,region.xlsx
14,1,Tanzania,main subject,Q924,02_region,region.xlsx
10,1,Zambia,main subject,Q953,02_region,region.xlsx
15,1,Zambia,main subject,Q953,02_region,region.xlsx
11,1,Zimbabwe,main subject,Q954,02_region,region.xlsx
12,1,Mozambique,main subject,Q1029,02_region,region.xlsx
8,2,Maize,main subject,Q25618328,02_region,region.xlsx
9,2,Maize,main subject,Q25618328,02_region,region.xlsx
10,2,Maize,main subject,Q25618328,02_region,region.xlsx
11,2,Maize,main subject,Q25618328,02_region,region.xlsx
12,2,Maize,main subject,Q25618328,02_region,region.xlsx
13,2,Teff,main subject,Q843942,02_region,region.xlsx
