column,row,value,qnode
,,NY.GDP.PCAP.CN,
,,DT.ODA.ODAT.GI.ZS,P100001
,,EG.ELC.ACCS.ZS,P100002
,,FP.CPI.TOTL,P1279
,,SN.ITK.DEFC.ZS,P100003
,,MS.MIL.XPND.ZS,P100004
,,SL.EMP.TOTL.SP.NE.ZS,P100005
,,MS.MIL.XPND.GD.ZS,
,,SH.H2O.BASW.ZS,
,,SH.STA.BASS.ZS,
,,SH.DYN.MORT,
