Q334	P100017
Q733	P100014
Q826	P100011
Q863	P100016
Q822	P100022
Q1030	P100013
Q32	P100015
Q657	P100012
Q232	P100014
Q958	P100020
Q774	P100020
Q1009	P100020
Q39	P100021
Q214	P100020
Q1030	P100022
Q945	P100011
Q265	P100019
Q766	P100011
Q225	P100013
Q222	P100012
Q851830	P100015
Q20	P100015
Q224	P100014
Q912	P100018
Q403	P100021
Q1020	P100011
Q212	P100019
Q817	P100013
Q902	P100013
Q796	P100020
Q218	P100011
Q37	P100017
Q1009	P100022
Q953	P100015
Q1016	P100013
Q986	P100019
Q921	P100017
Q77	P100015
Q986	P100013
Q403	P100017
Q184	P100022
Q29999	P100016
Q683	P100020
Q1036	P100014
Q191	P100015
Q1037	P100016
Q1013	P100021
Q965	P100017
Q1020	P100015
Q232	P100013
Q924	P100013
Q191	P100012
Q96	P100018
Q32	P100016
Q965	P100022
Q1009	P100021
Q145	P100014
Q733	P100011
Q881	P100020
Q258	P100013
Q970	P100018
Q183	P100012
Q115	P100011
Q222	P100011
Q817	P100020
Q225	P100012
Q242	P100013
Q403	P100015
Q958	P100018
Q403	P100022
Q265	P100017
Q774	P100021
Q115	P100019
Q766	P100021
Q35	P100019
Q1028	P100014
Q219	P100014
Q227	P100015
Q233	P100018
Q783	P100018
Q1037	P100018
Q236	P100016
Q230	P100018
Q817	P100021
Q889	P100022
Q148	P100011
Q790	P100013
Q334	P100015
Q1000	P100021
Q813	P100011
Q408	P100013
Q28	P100022
Q810	P100016
Q962	P100020
Q924	P100019
Q977	P100012
Q965	P100014
Q1019	P100019
Q837	P100012
Q419	P100012
Q148	P100014
Q846	P100011
Q766	P100012
Q213	P100014
Q414	P100016
Q1041	P100019
Q826	P100021
Q928	P100012
Q30	P100019
Q33	P100022
Q35	P100018
Q796	P100019
Q1045	P100014
Q912	P100011
Q851	P100015
Q881	P100012
Q262	P100019
Q1009	P100013
Q211	P100011
Q40	P100022
Q917	P100022
Q222	P100014
Q921	P100020
Q30	P100018
Q833	P100021
Q1039	P100015
Q117	P100019
Q1039	P100022
Q1045	P100013
Q28	P100014
Q1014	P100021
Q948	P100021
Q769	P100016
Q774	P100013
