column,row,item,value,context
,,Candidate,Candidate,
,,Party/alliance,Party/alliance,
,,First round,First round,
,,Second round,Second round,
,,Votes,Votes,
,,%,%,
,,Ivֳ¡n Duque Mֳ¡rquez,Ivֳ¡n Duque Mֳ¡rquez,
,,Grand Alliance for Colombia,Grand Alliance for Colombia,
,,Gustavo Petro,Gustavo Petro,
,,List of Decency,List of Decency,
,,Sergio Fajardo,Sergio Fajardo,
,,Colombia Coalition,Colombia Coalition,
,,Germֳ¡n Vargas Lleras,Germֳ¡n Vargas Lleras,
,,Mejor Vargas Lleras,Mejor Vargas Lleras,
,,Humberto De la Calle,Humberto De la Calle,
,,PLCג€“ASI,PLCג€“ASI,
,,Jorge Antonio Trujillo,Jorge Antonio Trujillo,
,,We Are All Colombia,We Are All Colombia,
,,Promotores Voto En Blanco,Promotores Voto En Blanco,
,,"Party of Ethnic Reclamation ""PRE""","Party of Ethnic Reclamation ""PRE""",
,,Viviane Morales Hoyos,Viviane Morales Hoyos,
,,Somos Regiֳ³n Colombia,Somos Regiֳ³n Colombia,
,,Blank votes,Blank votes,
,,Invalid votes,Invalid votes,
,,ג€“,ג€“,
,,Total,Total,
,,Registered voters/turnout,Registered voters/turnout,
,,Source: El Tiempo Government,Source: El Tiempo Government,
,,No.,No.,
,,Pos.,Pos.,
,,Nation,Nation,
,,Player,Player,
,,GK,GK,
,,GER,GER,
,,Marc-Andrֳ© ter Stegen,Marc-Andrֳ© ter Stegen,
,,DF,DF,
,,USA,USA,
,,Sergiֳ±o Dest,Sergiֳ±o Dest,
,,DF,DF,
,,ESP,ESP,
,,Gerard Piquֳ© (3rd captain),Gerard Piquֳ© (3rd captain),
,,DF,DF,
,,URU,URU,
,,Ronald Araֳ÷jo,Ronald Araֳ÷jo,
,,MF,MF,
,,ESP,ESP,
,,Sergio Busquets (vice-captain),Sergio Busquets (vice-captain),
,,MF,MF,
,,ESP,ESP,
,,Carles Aleֳ±ֳ¡,Carles Aleֳ±ֳ¡,
,,FW,FW,
,,FRA,FRA,
,,Antoine Griezmann,Antoine Griezmann,
,,MF,MF,
,,BIH,BIH,
,,Miralem Pjaniִ‡,Miralem Pjaniִ‡,
,,FW,FW,
,,DEN,DEN,
,,Martin Braithwaite,Martin Braithwaite,
,,FW,FW,
,,ARG,ARG,
,,Lionel Messi (captain),Lionel Messi (captain),
,,FW,FW,
,,FRA,FRA,
,,Ousmane Dembֳ©lֳ©,Ousmane Dembֳ©lֳ©,
,,MF,MF,
,,ESP,ESP,
,,Riqui Puig,Riqui Puig,
,,Nutrient,Nutrient,
,,Maize (corn)[A],Maize (corn)[A],
,,Rice,Rice, white[B]
,,Wheat[C],Wheat[C],
,,Potatoes[D],Potatoes[D],
,,Cassava[E],Cassava[E],
,,Soybeans,Soybeans, green[F]
,,Sweet potatoes[G],Sweet potatoes[G],
,,Yams[Y],Yams[Y],
,,Sorghum[H],Sorghum[H],
,,Plantain[Z],Plantain[Z],
,,RDA,RDA,
,,Water (g),Water (g),
,,Energy (kJ),Energy (kJ),
,,8,8,368ג€“10
,,Protein (g),Protein (g),
,,Fat (g),Fat (g),
,,44ג€“77,44ג€“77,
,,Carbohydrates (g),Carbohydrates (g),
,,Fiber (g),Fiber (g),
,,Sugar (g),Sugar (g),
,,minimal,minimal,
,,World production,World production,
,,Average world yield,Average world yield,
,,World's most productive countries,World's most productive countries,[14]
,,World's largest producing countries,World's largest producing countries,2013[16]
,,Rank,Rank,
,,Crop,Crop,
,,(metric tons),(metric tons),
,,(tons per hectare),(tons per hectare),
,,(tons per hectare),(tons per hectare),
,,Country,Country,
,,(metric tons),(metric tons),
,,Country,Country,
,,Maize (Corn),Maize (Corn),
,,873 million,873 million,
,,United States,United States,
,,354 million,354 million,
,,United States,United States,
,,Rice,Rice,
,,738 million,738 million,
,,Egypt,Egypt,
,,204 million,204 million,
,,China,China,
,,Wheat,Wheat,
,,671 million,671 million,
,,New Zealand,New Zealand,
,,122 million,122 million,
,,China,China,
,,Potatoes,Potatoes,
,,365 million,365 million,
,,Netherlands,Netherlands,
,,96 million,96 million,
,,China,China,
,,Cassava,Cassava,
,,269 million,269 million,
,,Indonesia,Indonesia,
,,47 million,47 million,
,,Nigeria,Nigeria,
,,Soybeans,Soybeans,
,,241 million,241 million,
,,Egypt,Egypt,
,,91 million,91 million,
,,United States,United States,
,,Sweet potatoes,Sweet potatoes,
,,108 million,108 million,
,,Senegal,Senegal,
,,71 million,71 million,
,,China,China,
,,Yams,Yams,
,,59.5 million,59.5 million,
,,Colombia,Colombia,
,,36 million,36 million,
,,Nigeria,Nigeria,
,,Sorghum,Sorghum,
,,57.0 million,57.0 million,
,,United States,United States,
,,10 million,10 million,
,,United States,United States,
,,Plantain,Plantain,
,,37.2 million,37.2 million,
,,El Salvador,El Salvador,
,,9 million,9 million,
,,Uganda,Uganda,
,,Name,Name,
,,Country and territory,Country and territory,
,,Place,Place,
,,Footprint,Footprint,
,,Length ֳ— width,Length ֳ— width,
,,Description,Description,
,,Map/Source,Map/Source,
,,AvtoVAZ main assembly building,AvtoVAZ main assembly building,
,,Russia,Russia,
,,Tolyatti,Tolyatti,
,,887,887,800 m2 (9
,,1930 m[dubious ג€“ discuss] x 460 m,1930 m[dubious ג€“ discuss] x 460 m,
,,Lada car factory,Lada car factory,
,,[22],[22],
,,Beijing Daxing International Airport terminal building,Beijing Daxing International Airport terminal building,
,,China,China,
,,Beijing,Beijing,
,,700,700,000 m2 (7
,,Terminal building of Beijing Daxing International Airport,Terminal building of Beijing Daxing International Airport,
,,[23],[23],
,,Jaguar Land Rover Solihull plant,Jaguar Land Rover Solihull plant,
,,United Kingdom,United Kingdom,
,,Solihull,Solihull,
,,526,526,000 m2 (5
,,1700 m x 980 m,1700 m x 980 m,
,,Jaguar Land Rover car factory,Jaguar Land Rover car factory,
,,[24],[24],
,,Aalsmeer Flower Auction Building,Aalsmeer Flower Auction Building,
,,Netherlands,Netherlands,
,,Aalsmeer,Aalsmeer,
,,518,518,000 m2 (5
,,740 m x 700 m,740 m x 700 m,
,,[25],[25],
,,Title,Title,
,,Year,Year,
,,Peak chart positions,Peak chart positions,
,,Certifications,Certifications,
,,Album,Album,
,,UK,UK,
,,AUS,AUS,
,,AUT,AUT,
,,BEL,BEL,
,,CAN,CAN,
,,FRA,FRA,
,,GER,GER,
,,IRE,IRE,
,,NLD,NLD,
,,NZL,NZL,
,,SWI,SWI,
,,US,US,
,,US Cash Box,US Cash Box,
,,Save Me,Save Me,
,,ג€”,ג€”,
,,The Game,The Game,
,,Play the Game,Play the Game,
,,Another One Bites the Dust,Another One Bites the Dust,
,,UK: Platinum[21],UK: Platinum[21],
,,ITA: 2ֳ— Platinum[53],ITA: 2ֳ— Platinum[53],
,,US: 4ֳ— Platinum[22],US: 4ֳ— Platinum[22],
,,Need Your Loving Tonight,Need Your Loving Tonight,
,,Flash,Flash,
,,UK: Silver[21],UK: Silver[21],
,,Flash Gordon OST,Flash Gordon OST,
,,Rank,Rank,
,,Building,Building,
,,City,City,
,,Country,Country,
,,Height,Height,
,,Floors,Floors,
,,Built,Built,
,,Burj Khalifa,Burj Khalifa,
,,Dubai,Dubai,
,,United Arab Emirates,United Arab Emirates,
,,584.5 m (1,584.5 m (1,918 ft)
,,Shanghai Tower,Shanghai Tower,
,,Shanghai,Shanghai,
,,China,China,
,,583.4 m (1,583.4 m (1,914 ft)
,,Ping An Finance Center,Ping An Finance Center,
,,Shenzhen,Shenzhen,
,,China,China,
,,562.2 m (1,562.2 m (1,844 ft)
,,China Zun,China Zun,
,,Beijing,Beijing,
,,China,China,
,,515 m (1,515 m (1,690 ft)
,,Lotte World Tower,Lotte World Tower,
,,Seoul,Seoul,
,,South Korea,South Korea,
,,497.6 m (1,497.6 m (1,633 ft)
,,Guangzhou CTF Finance Centre,Guangzhou CTF Finance Centre,
