column,row,item,value,context
,,Guangzhou,Guangzhou,
,,China,China,
,,495.5 m (1,495.5 m (1,626 ft)
,,Abraj Al-Bait Towers,Abraj Al-Bait Towers,
,,Mecca,Mecca,
,,Saudi Arabia,Saudi Arabia,
,,494.4 m (1,494.4 m (1,622 ft)
,,Shanghai World Financial Center,Shanghai World Financial Center,
,,Shanghai,Shanghai,
,,China,China,
,,474 m (1,474 m (1,555 ft)
,,International Commerce Centre,International Commerce Centre,
,,Hong Kong,Hong Kong,
,,China,China,
,,468.8 m (1,468.8 m (1,538 ft)
,,Central Park Tower,Central Park Tower,
,,New York City,New York City,
,,United States,United States,
,,442 m (1,442 m (1,450 ft)
,,Tianjin CTF Finance Centre,Tianjin CTF Finance Centre,
,,Tianjin,Tianjin,
,,China,China,
,,439.4 m (1,439.4 m (1,442 ft)
,,Taipei 101,Taipei 101,
,,Taipei,Taipei,
,,Taiwan,Taiwan,
,,438 m (1,438 m (1,437 ft)
,,Changsha IFS Tower T1,Changsha IFS Tower T1,
,,Changsha,Changsha,
,,China,China,
,,437.1 m (1,437.1 m (1,434 ft)
,,KK100,KK100,
,,Shenzhen,Shenzhen,
,,China,China,
,,427.1 m (1,427.1 m (1,401 ft)
,,Guangzhou International Finance Center,Guangzhou International Finance Center,
,,Guangzhou,Guangzhou,
,,China,China,
,,415.1 m (1,415.1 m (1,362 ft)
,,Willis Tower,Willis Tower,
,,Chicago,Chicago,
,,United States,United States,
,,412.7 m (1,412.7 m (1,354 ft)
,,Suzhou IFS,Suzhou IFS,
,,Suzhou,Suzhou,
,,China,China,
,,406.4 m (1,406.4 m (1,333 ft)
,,New,New,
,,No. 1,No. 1,
,,Country,Country,
,,Player,Player,
,,Start date,Start date,
,,End date,End date,
,,Weeks,Weeks,
,,series,series,
,,total,total,
,,USA,USA,
,,Chris Evert,Chris Evert,
,,AUS,AUS,
,,Evonne Goolagong Cawley,Evonne Goolagong Cawley,
,,USA,USA,
,,Chris Evert (2),Chris Evert (2),
,,USA,USA,
,,Martina Navratilova,Martina Navratilova,
,,USA,USA,
,,Chris Evert (3),Chris Evert (3),
,,USA,USA,
,,Martina Navratilova (2),Martina Navratilova (2),
,,USA,USA,
,,Chris Evert (4),Chris Evert (4),
,,USA,USA,
,,Martina Navratilova (3),Martina Navratilova (3),
,,USA,USA,
,,Chris Evert (5),Chris Evert (5),
,,USA,USA,
,,Martina Navratilova (4),Martina Navratilova (4),
,,Rank[N 1],Rank[N 1],
,,Company,Company,
,,Largest Market Cap (USD billions),Largest Market Cap (USD billions),
,,Market Cap in 2019 (USD billions),Market Cap in 2019 (USD billions),
,,Market Cap in 2018 (USD billions),Market Cap in 2018 (USD billions),
,,Market Cap in 2017 (USD billions),Market Cap in 2017 (USD billions),
,,Market Cap in 2016 (USD billions)[1][2],Market Cap in 2016 (USD billions)[1][2],
,,Market Cap in 2015 (USD billions)[3],Market Cap in 2015 (USD billions)[3],
,,Market Cap in 2014 (USD billions)[4],Market Cap in 2014 (USD billions)[4],
,,Market Cap in 2013 (USD billions),Market Cap in 2013 (USD billions),
,,Johnson & Johnson[P],Johnson & Johnson[P],
,,NYSE: JNJ,NYSE: JNJ,
,,397.4 (Jan 2018),397.4 (Jan 2018),
,,Roche[P],Roche[P],
,,SIX: ROG,SIX: ROG,
,,281.1 (Dec 2019),281.1 (Dec 2019),
,,Novartis[P],Novartis[P],
,,NYSE: NVS,NYSE: NVS,
,,275.2 (Jul 2015),275.2 (Jul 2015),
,,Merck & Co.[P],Merck & Co.[P],
,,NYSE: MRK,NYSE: MRK,
,,232.9 (Dec 2019),232.9 (Dec 2019),
,,Pfizer[P],Pfizer[P],
,,NYSE: PFE,NYSE: PFE,
,,310.5 (Jul 2000),310.5 (Jul 2000),
