P100004	P1896
P100005	P1896
P100008	P1896
P100015	P1629
P100010	P1629
P100011	P1896
P100016	P1896
P100015	P1896
P100001	P1896
P100003	P1629
P100006	P31
P100019	P31
P100014	P31
P100014	P1896
P100019	P1896
P100007	P1896
P100012	P1896
P100008	P1629
P100016	P1629
P100001	P31
P100003	P31
P100013	P1896
P100002	P1629
P100007	P1629
P100013	P31
P100003	P1896
P100008	P31
P100016	P31
P100004	P31
P100005	P1629
P100010	P31
P100007	P31
P100012	P31
P100002	P31
P100014	P1629
P100022	P1896
P100006	P1629
P100021	P31
P100006	P1896
P100009	P31
P100020	P31
P100009	P1629
P100018	P1896
P100018	P31
P100015	P31
P100009	P1896
P100020	P1896
P100011	P31
P100004	P1629
P100005	P31
P100021	P1896
P100022	P31
P100017	P1896
P100002	P1896
P100017	P31
P100010	P1896
P100001	P1629
