Q214	P100018
Q869	P100014
Q115	P100022
Q265	P100014
Q953	P100021
Q36	P100014
Q774	P100016
Q142	P100012
Q227	P100016
Q43	P100017
Q796	P100015
Q1014	P100014
Q916	P100017
Q668	P100017
Q1037	P100014
Q657	P100012
Q232	P100022
Q43	P100022
Q227	P100014
Q145	P100012
Q36	P100016
Q142	P100019
Q43	P100012
Q945	P100011
Q115	P100014
Q792	P100017
Q265	P100012
Q657	P100017
Q790	P100011
Q874	P100016
Q963	P100021
Q217	P100015
Q843	P100015
Q916	P100018
Q668	P100018
Q1028	P100013
Q1006	P100019
Q30	P100019
Q145	P100011
Q783	P100021
Q265	P100017
Q227	P100012
Q945	P100021
Q983	P100015
Q962	P100014
Q225	P100014
Q1028	P100012
Q214	P100017
Q929	P100014
Q963	P100017
Q945	P100014
Q211	P100021
Q833	P100011
Q1028	P100022
Q851830	P100012
Q155	P100013
Q1014	P100016
Q28	P100018
Q227	P100017
Q28	P100020
Q790	P100013
Q902	P100017
Q836	P100015
Q222	P100022
Q954	P100015
Q1033	P100016
Q963	P100012
Q408	P100022
Q1016	P100020
Q1014	P100013
Q863	P100018
Q145	P100013
Q1045	P100017
Q1033	P100022
Q1000	P100014
Q774	P100015
Q945	P100012
Q227	P100021
Q114	P100011
Q142	P100021
Q796	P100016
Q142	P100013
Q1009	P100016
Q213	P100022
Q114	P100012
Q1045	P100021
Q145	P100021
Q114	P100022
Q928	P100015
Q1006	P100020
Q822	P100015
Q35	P100013
Q252	P100019
Q1029	P100020
Q37	P100020
Q954	P100014
Q902	P100014
Q37	P100015
Q874	P100015
Q736	P100013
Q917	P100013
Q916	P100019
Q217	P100016
Q668	P100019
Q114	P100013
Q736	P100021
Q1036	P100015
Q225	P100017
Q928	P100014
Q948	P100015
Q1016	P100012
Q31	P100014
Q217	P100013
Q983	P100014
Q657	P100019
Q790	P100017
Q668	P100021
Q1028	P100021
Q863	P100020
Q1014	P100012
Q881	P100012
Q28	P100016
Q953	P100011
Q750	P100016
Q881	P100022
Q408	P100021
Q836	P100016
Q252	P100018
Q227	P100013
Q211	P100015
Q211	P100020
Q241	P100011
Q155	P100012
Q214	P100019
Q1028	P100017
Q36	P100011
Q822	P100017
Q836	P100014
Q1016	P100021
Q792	P100022
Q213	P100016
Q1045	P100011
Q1009	P100020
Q35	P100021
Q1009	P100015
Q1020	P100019
Q739	P100018
Q750	P100021
Q1045	P100012
Q786	P100018
Q227	P100011
Q145	P100016
Q36	P100018
Q822	P100016
Q916	P100013
Q668	P100013
Q736	P100019
Q214	P100011
Q43	P100013
Q222	P100016
Q222	P100014
Q983	P100013
Q28	P100019
Q863	P100021
Q750	P100017
Q736	P100012
Q774	P100020
Q916	P100022
Q668	P100022
Q1049	P100018
Q145	P100014
Q155	P100015
Q1020	P100011
Q35	P100012
Q790	P100016
Q31	P100016
Q967	P100015
Q967	P100020
Q1016	P100018
Q792	P100019
Q750	P100012
Q1037	P100015
Q1006	P100018
Q783	P100017
Q219	P100020
Q881	P100016
Q213	P100014
Q917	P100020
Q142	P100014
Q796	P100014
Q881	P100021
Q813	P100014
Q241	P100012
Q945	P100013
Q874	P100020
Q225	P100018
Q1020	P100020
Q1020	P100022
Q863	P100022
Q148	P100018
Q889	P100017
Q1036	P100020
Q881	P100017
Q142	P100020
Q851	P100011
Q213	P100015
Q212	P100020
Q37	P100012
Q902	P100019
Q114	P100021
Q145	P100022
Q774	P100013
Q851830	P100013
Q967	P100014
Q962	P100021
Q414	P100022
Q962	P100016
Q145	P100020
Q953	P100017
Q783	P100014
Q822	P100012
Q1006	P100021
Q225	P100022
Q657	P100020
Q869	P100022
Q863	P100011
Q739	P100017
Q833	P100022
Q965	P100014
Q986	P100022
Q889	P100022
Q1044	P100018
Q222	P100015
Q262	P100018
Q1020	P100017
Q837	P100014
Q414	P100021
Q953	P100012
Q225	P100011
Q252	P100012
Q851	P100013
Q96	P100016
Q750	P100011
Q917	P100019
Q155	P100016
Q1025	P100014
Q851830	P100011
Q37	P100021
Q963	P100016
Q874	P100021
Q790	P100015
Q31	P100015
Q1020	P100012
Q902	P100018
Q657	P100021
Q836	P100013
Q252	P100017
Q213	P100017
Q1037	P100016
Q1014	P100021
Q881	P100015
Q986	P100011
Q881	P100018
Q837	P100022
Q408	P100012
Q889	P100018
Q148	P100019
Q36	P100021
Q953	P100014
Q1028	P100016
Q265	P100021
Q790	P100018
