column,row,value,qnode
0,3,Burundi,Q967
0,4,Burundi,Q967
0,5,Comoros,Q970
0,6,Comoros,Q970
0,7,Djibouti,Q977
0,8,Djibouti,Q977
1,3,SDG,Q7649586
1,4,SDG,Q7649586
1,5,GHD Estimate,Q6039400
1,6,GHD Estimate,Q6039400
1,7,GHD Estimate,Q6039400
1,8,GHD Estimate,Q6039400
2,3,Females,Q6581072
2,5,Females,Q6581072
2,7,Females,Q6581072
2,4,Males,Q6581097
2,6,Males,Q6581097
2,8,Males,Q6581097
